publishedAt,authorDisplayName,textDisplay,label,likeCount
2024-01-07T18:10:05Z,@griyagadget5158,nya debat calon presiden visi misi strategi serang kurang pribadi jabat yg jalan,0.0,1022.0
2024-01-08T06:33:24Z,@daffashidiq1527,debat acara jatuh prabowo kuat semangat prabowo dukung,0.0,715.0
2024-01-09T14:12:43Z,@estriani919,anis bilang junjung etika debat hilang etika,0.0,348.0
2024-01-07T17:21:56Z,@andiok5794,ambisi kuasa rela jatuh cari cela paslon cerdas bicara bareng hati bersih,0.0,202.0
2024-01-07T15:28:55Z,@user-pi9xl7bk1n,paslon transfaran paslon serang merndahkan menjlekan mersa keliahatan yg bnar negarawan pikir penting pribadi,0.0,202.0
2024-01-08T12:10:58Z,@andnira,respek prabowo subianto yg coba jatuh lawan,0.0,193.0
2024-01-09T05:13:51Z,@nitapurnamasari2199,anis pilih beliau debat fokus cari kurang paslon fokus visi misi sayang capres rakyat butuh bukti omong indah dengar bukti nyata,0.0,177.0
2024-01-07T14:56:47Z,@padliguntur2765,pimpin ahli bicara ahli tindak gak ahli teknis ahli arah menteri,0.0,136.0
2024-01-07T15:56:48Z,@user-dp4rh6dy7o,orang bodoh lakukanbr bual laku benarbr orang bijak laku apaapa hasil yg mejawab nyaquotbrbrsukses prabowo,0.0,98.0
2024-01-09T13:54:38Z,@naradelva1869,pdhl debat tuju biar masyarakat tau visi misi tpi yg gw liat paslon amp sibuk nyudutin paslon sampe lupa klo kerja sempurna milih,0.0,69.0
2024-01-07T16:15:47Z,@tusinem3886,anis sebal debat nya nyrocos jelek jelek lawan kerja orang nggak ngaca kerja nya,0.0,63.0
2024-01-07T19:08:01Z,@vendrikusuma6798,ambisius dua sudut beliau percyalah beliau tulus bangsa indonesia biau prabowo buka hati,0.0,57.0
2024-01-09T12:22:23Z,@user-pd6xn7xq5s,anissemakin usaha jatuh paslon tunjuk karakter njenenganyang butuh masyarakat ajar jatuh paslon laintp aduu visi misi,0.0,53.0
2024-01-09T06:09:56Z,@gussamsudin6023,prabowo mikirin negara branis ganjar mikirin prabowo satu haus kuasa yg gimik nya,0.0,50.0
2024-01-08T05:14:24Z,@NuragusSetiawan-lh7fp,prabowo sibuk bangun indonesia yg sibuk jatohin prabowo sabar anak muda dukung mu,0.0,50.0
2024-01-08T13:03:26Z,@Keith_Kimberly,ilfil no krn sibuk jatuh paslon minggir wiiiirrr,0.0,48.0
2024-01-07T18:47:04Z,@andryfeb_,gausah nonton debat nonton mamah dedeh aja sanaaa,0.0,48.0
2024-01-07T14:54:42Z,@new7pro941,capres amp aja cari kurang prabowo moga prabowo,0.0,47.0
2024-01-07T16:43:10Z,@purwatiwati2292,ya bner bnget tuhbahaya bnnget dn super parah jgn pancing ya pk bowo sy sellu dihtimu,0.0,45.0
2024-01-07T16:49:38Z,@iwansafira3406,pancing nasib prabowo segan terimakasih pprabowo karna pegang kunci negarabrsangat soal nya anisbranis slalu cari salah nya orang mikir keburu sendiribritulah tanda orang yg ngakui lah nya cari tenar orang,0.0,43.0
2024-01-10T10:26:38Z,@dhianS.,sy yg udh berkalikali ikut pilih ngasal nyoblosss kali tarik ikut kembang debat yg kali sungguh sy tertawa amp cari suara dgn visi misi tp knp bahan tertawa,0.0,41.0
2024-01-09T08:17:09Z,@ratu9943,ganjar anisss omong janji,0.0,41.0
2024-01-08T11:23:07Z,@xiozim8630,sih nama jatuh harga no hebat nilai orang rendah cermin jabat janji manis d eh iya aduhh lupa ektp angin mana ya wadasss eh wadawwww,0.0,40.0
2024-01-07T15:38:53Z,@ps.martinsaubaki7041,mah debat konspirasi paslon serang paslon,0.0,39.0
2024-01-07T14:54:49Z,@fithriyah7527,tenang gimana lha emosional banget,0.0,38.0
2024-01-08T11:33:04Z,@adenurhidayati8690,sumpah kesel bgt liat anis nya nyerang probowo doang segitu takut prabowo menang kali yak smpe bela bain nyerang prabowo terus,0.0,34.0
2024-01-07T14:49:22Z,@melanypuspita7881,amp serang semangat,0.0,34.0
2024-01-08T03:16:40Z,@user-gg6dt3tn3v,tata krama kuasa rela jatuh teman saing pakai ide gagas bangsa dn negara,0.0,33.0
2024-01-07T15:57:22Z,@iisnurjanah7007,jatuh bagusbuktikan aksi nyata,0.0,33.0
2024-01-10T01:43:12Z,@KartikaaTasya,menteri tahan baik seasia lulus baik fort bragg mantan pimpin kopassus amp mantan jendral kasih nilai menteri yg pecatresuffle kocak,0.0,32.0
2024-01-07T14:58:11Z,@ratnabolescafood2865,mah debat calon presiden rapat tanggung menteri tahan ngakak sampe abis prabowo serang pancing emosi nya,0.0,32.0
2024-01-08T01:19:47Z,@sabilasyaban21,paslon serang data koreksi indonesia kedepannyakehidupan yg layak kelas polisi tni yg garis depan tahan nkri contoh pimpin thn belakang yg masyarakat yg cerdas berfikir kritis bela karna kasihansemoga depan indonesia amiinn,0.0,31.0
2024-01-07T16:17:08Z,@ghinahasanah3752,gusadesama wkwkwkkw kesel lihat si anis sumpah,0.0,31.0
