publishedAt,textDisplay,label
2024-01-07T22:00:01Z,ngapunten ngeh pakdekalu bauksit enak pakde lawong aja expert produksi mreka bangun disinilawong bauksit membagiharusnya sulit pakde mreka kesini bagi ilmu maturnuwun,
2024-01-07T21:59:48Z,debat gak sanggah mah gak fair gak sampe selesai,
2024-01-07T21:59:46Z,ri,
2024-01-07T21:59:37Z,anis ngomong e wenak tenan yoo enteng bagi atur indonesia,
2024-01-07T21:59:36Z,debat kyak kuis cik coba yg nguji toko intelektual kesini asa mundur tajam gagas kritis isi jelek,
2024-01-07T21:59:25Z,no mantap jawab,
2024-01-07T21:58:14Z,dukung h anis baswedan h gus imin moga tuhan kati presiden republik indonesiaaamin yarabbal alamin,
2024-01-07T21:58:12Z,beda berfikirnya yg kapasitas pimpin negara yg mimpin kampung,
2024-01-07T21:58:05Z,bner aja tahan rohingnya aja masuk aneh,
2024-01-07T21:57:59Z,harap prabowo serang pribadi aib aib anies ganjar biar warga indonesia bukak rahasia,
2024-01-07T21:57:27Z,capresnya langgar ham cawapres langgar etik gimana mimpin bangsa,
2024-01-07T21:57:22Z,bacot nggedobos lihat semarang stadion nya termehek mehek lihat stadion manah piala dunia nggak pakai gitu ngomongnya banyer nggak cocok ngomonge ojo kecoh rek,
2024-01-07T21:57:19Z,si no indo ntar senjata hypersoniklangsung ngakak gw njirrbutuh thn brooo biar senjata kalo gk yaa ente koalisi ama china rusia musuh amerika beli senjata,
2024-01-07T21:57:06Z,komentar warganet skeptis calon warga indonesia keri bincang debat bahas nyambung anggap tokoh sepenuh hitam putih,
2024-01-07T21:56:50Z,prabowo ralistis dongeng manis,
2024-01-07T21:56:12Z,all in prabowo,
2024-01-07T21:55:35Z,wajah anis ganjar naik jabat kepala negara ikhlas indonesia gusdur,
2024-01-07T21:55:21Z,si anis teoritis si anis ngeyel hahah,
2024-01-07T21:54:54Z,percaya bhw anis dlm visi misi gombal belakakelihatan serang prabowo,
2024-01-07T21:54:42Z,nama jga anis omonganya jga mnis tpi banyak sii yg kaya gin bukti nya,
2024-01-07T21:54:29Z,anis kocak pinter omong doang liat banget kalo ken jatuhin paslon nomer ambisius ken kuasa hormat,
2024-01-07T21:54:19Z,anis serang debat sang penghianat,
2024-01-07T21:53:52Z,no,
2024-01-07T21:53:40Z,yg bahas cuman jabat utama cuman sejahtera aparat negara gaji naik teruuuuus bagus mbok ya paham negara rakyat gaji negara juang matimatian suap nasi jalan pakmohon pikir,
2024-01-07T21:53:30Z,prabowo sengaja jatuh pk anis liat klau pk prabowo sentimen sm pk anis debat emosi marah klau jd presiden yg sesat pk prabowo agama nya sj gk sirik sm pk anis krn anis usai cerdas,
2024-01-07T21:53:11Z,debat kritik gagasananis ganjar tdk hak mangatakan etika tdk tingkat profesional capres andai tim prabowo cari minus dua jabat gubernur debat nyata parah jawab mentelehteleh,
2024-01-07T21:52:49Z,ganjar,
2024-01-07T21:52:44Z,woy kasi kah wowo kali nyapres ngemis suara rakyat kalah ayo pilih coba bayang wowo gagal pilpres paksa konstetasi pilpres kalah wowo kalah wowo,
2024-01-07T21:52:43Z,bussset anies baswedan santuuuuy banget,
2024-01-07T21:51:50Z,pikir ubah indonesia butuh ubah merdeka indonesia gin aja malu karno butuh ubah,
2024-01-07T21:50:01Z,anies usaha negara turun rasio hutang negara sadar ekonomi negara kuat prabowo pede angka dg pede bilang kasihan anak cucu besok hutang ujung naikin pajak bayar hutang,
2024-01-07T21:49:37Z,pegang omonfan anis jd presiden hancur indonesia terima kasih,
2024-01-07T21:48:35Z,bowo emosi haha,
2024-01-07T21:47:59Z,amin,
2024-01-07T21:47:55Z,cari calon presiden yg cerdas tampa tex yg cerdas berwibawah,
2024-01-07T21:46:14Z,pakk anis blunder xii,
2024-01-07T21:45:50Z,pilih takut sengsara,
2024-01-07T21:45:36Z,yg jd presiden smoga yg terbaikyg oenting jng sampe gaji pns nya yahun hehe bpk suhartopa sby skrng duh nya,
2024-01-07T21:45:00Z,rumah persen tni polri muncul,
2024-01-07T21:43:45Z,sy debat capres malam pasang paslon no jual paslon no yg tdk tambah utang sdh tau perintah jokowi utang negara tambah usung partai,
2024-01-07T21:43:11Z,,
2024-01-07T21:43:04Z,omong si wowo hasil gak,
2024-01-07T21:42:48Z,bekas muda bekas ya bekaspemimpin nya suka barang bekaspantesan banjir barang bekas indonesia,
2024-01-07T21:42:14Z,borong tarik hati anis ganjar profesional debat diskusi kemarin kecawa jatuh gagas jatuh no urut yg payah yg universitas tni prabowo yg dlm hati yg mudah paham mejual janji prabowo anis tdk hak etika laku dgn ganjar,
2024-01-07T21:39:48Z,calon presien emosi,
2024-01-07T21:39:22Z,tenang prabowo,
2024-01-07T21:39:10Z,gimana bagus rp gak rp,
2024-01-07T21:38:08Z,ganjaranis nunggu nasip rida sangilahi tentu atas,
2024-01-07T21:37:37Z,cocok anis menteri budaya seni,
2024-01-07T21:37:30Z,ganjar ama prabowo menit cepet banget anies lamaitu curangiwaktunya anies lambat anies habis,
2024-01-11T10:44:02Z,tuju,
2024-01-07T21:37:21Z,inget debat cagub yng pinter ngmng bnyak ngibul,
2024-01-07T21:34:06Z,aamiinn,
2024-01-07T21:33:42Z,anis berani,
2024-01-07T21:33:23Z,down,
2024-01-07T21:33:01Z,anies rasyid baswedan the best,
2024-01-07T21:32:56Z,ganjar sinar presiden ri,
2024-01-07T21:32:10Z,polisi hancur,
2024-01-07T21:31:48Z,prabowo angka,
2024-01-07T21:31:18Z,usulalangkah baik prabowo istirahat sayang beliau lelah lelah karna tahan lepas rhohinya indonesia,
2024-01-08T01:24:12Z,kasi,
2024-01-08T01:27:46Z,tema emg sesuai bidang wajar imo,
2024-01-08T01:28:28Z,sekolah kau yg,
2024-01-07T21:29:57Z,gua pribadi nilai debat paslon kaya nyerang,
2024-01-07T21:29:32Z,tahan negara kokmau d buka d dpan umumkok gblok banget ganjar sm anies gt mimpin negara,
2024-01-07T21:29:21Z,keriweuhan,
2024-01-07T21:28:53Z,kasih kendor anies habis jabat korup imigran gak tau,
2024-01-09T11:40:03Z,udh kli nyalon saking tulus nya,
2024-01-07T21:28:02Z,moderator hadirin utk tenang kontestan capressaran sj rang sj hadirin yg susah tenang,
2024-01-08T00:14:43Z,sekaliiii,
2024-01-08T01:47:41Z,pimpin yg d butuh keputuaannya kalo gk ngomong gmna salah,
2024-01-07T21:26:59Z,moga allah menang anis,
2024-01-07T21:26:33Z,kobisa yg trpilih hurup c,
2024-01-07T21:26:06Z,wajib milih aniskecerdasan wibawa banget presidenamin menang,
2024-01-07T21:26:02Z,bgt anis sentimen prabowo,
2024-01-07T21:24:54Z,koalisi,
2024-01-07T21:24:35Z,orang debat koq gak serang aneh,
2024-01-07T21:24:02Z,yg ambisi ngomong jls ya no ganjil pribadi alam ny blm presiden ri,
2024-01-07T21:23:37Z,sy simpat sm paslon anies yg arah utk malu paslon prabowo,
2024-01-07T21:22:44Z,nih suara dukung paslon,
2024-01-07T21:22:16Z,emang jokowi prabowo gandeng ganjar,
2024-01-07T21:22:10Z,muka ganjar muka anis jengkelin bgt klo ngmg,
2024-01-07T21:22:01Z,ri,
